instance_name,lat,long
00x.club,48.8582,2.3387
15m.icolectiva.org,40.4172,-3.684
1oku.net,35.69,139.69
2.distsn.org,35.6047,140.1233
3.nu,35.1802,136.9067
35o.poker,35.685,139.7514
39sounds.net,35.685,139.7514
3dscapture.net,35.9086,139.4853
4com.jp,34.6864,135.52
575don.club,35.69,139.69
7144.party,35.685,139.7514
758.fm,35.685,139.7514
7nw.eu,48.8582,2.3387
Equestria.Social,44.7434,-0.6791
Mastodon.cloud,37.751,-97.822
a.weirder.earth,51.4964,-0.1224
acg.mn,22.25,114.1667
acid.wtf,51.2993,9.491
adney.land,40.7214,-74.0052
aidon.club,35.685,139.7514
aigisdon.net,45.8696,-119.688
akashiensis.com,35.685,139.7514
akiba-fan.com,34.6864,135.52
akiba.tokyo.jp,35.69,139.69
akibaoh.tech,34.6864,135.52
akitadon.info,34.6864,135.52
aleph.land,48.8582,2.3387
algerietelecom.org,48.8582,2.3387
ali.delbertbeta.cc,30.2936,120.1614
alpc-island.m.to,35.685,139.7514
amefootdon.com,34.6864,135.52
amicale.net,48.8637,2.3615
amnz.jp,34.6864,135.52
anarchism.space,37.567,-121.9829
ancr.club,35.9411,139.8581
android-user.club,35.685,139.7514
angel.innolan.net,55.6667,12.5833
animalliberation.social,40.8326,-74.1307
anime.mstdn.cloud,35.685,139.7514
animedon.tk,35.1802,136.9067
animefun.jp,37.4192,-122.0574
anisodon.jp,35.685,139.7514
anitwitter.moe,39.1472,-94.5735
anti.energy,50.1167,8.6833
anticapitalist.party,48.8628,2.3292
antisocial.narinimous.fr,48.8582,2.3387
api.m.to,35.685,139.7514
apoil.org,50.4639,1.7628
arm.m.to,35.685,139.7514
arrowp5210.m.to,35.685,139.7514
aruk.as,35.685,139.7514
ascraeus.org,46,2
ashikaga.link,34.6864,135.52
asnas.m.to,35.685,139.7514
asonix.dog,30.4154,-97.7982
assortedflotsam.com,34.0494,-118.2641
atasinti.hostdon.jp,35.69,139.69
atdotatdotat.at,46,2
atomicfridge.net,46,2
audiophile-mastodon.com,34.6864,135.52
august-don.site,35.685,139.7514
avidol.jp,34.6864,135.52
awaodori.tokyo,35.9086,139.4853
awoo.space,51.4964,-0.1224
aws.afn.social,35.685,139.7514
azuchi.m.to,35.685,139.7514
babuu.club,34.6864,135.52
babymetal.party,34.6864,135.52
balkan.fedive.rs,52.35,4.9167
bam.yt,48.8582,2.3387
band-mastdn.tokyo,37.4192,-122.0574
bangdream.m.to,35.685,139.7514
bangdream.space,48.8582,2.3387
bapp.me,1.3667,103.8
baraag.net,46,2
bark.zer0xff.com,35.7833,139.9
basictomonokai.m.to,35.685,139.7514
basil.asria.jp,35.8569,139.6489
basstdn.jp,37.751,-97.822
bcn-users.degica.com,35.685,139.7514
beer.m.to,35.685,139.7514
beerbeer.tokyo,35.69,139.69
beyblade.m.to,35.685,139.7514
beyblader.top,35.685,139.7514
bibeogaem.zone,48.8582,2.3387
bicyclemstdn.jp,34.6864,135.52
bigdoinks.online,37.7749,-122.4194
birdsite.link,56,24
bitcoinadon.social,51.2993,9.491
biwakodon.com,34.6864,135.52
blabla.maravitti.fr,48.8582,2.3387
blackice.online,35.685,139.7514
