topic,count
tech,19
furry,14
art,13
anime,12
general,11
software,10
gaming,9
music,9
/,8
game,8
linux,8
social,7
development,7
generalistic,7
games,7
science,7
technology,7
instance,7
politics,6
design,6
queer,5
computer,5
&,5
open,5
web,4
programming,4
books,4
-,4
security,4
porn,4
source,4
privacy,4
free,4
und,4
stuff,4
rights,3
lgbtqia+,3
things,3
people,3
video,3
mastodon,3
photography,3
kink,3
bdsm,3
star,3
local,3
wars,3
cool,3
sports,3
otherkin,3
memes,3
coffee,3
culture,3
engineering,3
fun,3
arts,3
adult,3
nsfw,3
food,3
animation,3
animal,2
justice,2
activism,2
minecraft,2
life,2
javascript,2
css,2
nerd,2
shitposting,2
manga,2
vidéo,2
et,2
welcome.,2
anything,2
lgbtq,2
debian,2
nature,2
geek,2
japan,2
discussion,2
idolm@ster,2
digital,2
culture.,2
projects.,2
amateur,2
lgbt,2
cooperation,2
community,2
single-user,2
freedom,2
little,2
brony,2
writing,2
roleplaying,2
roleplay,2
anarchist,2
therianthropy,2
psychedelics,2
hacking,2
telegram,2
android,2
php,2
computers,2
lgbtq+,2
talk,2
themed,2
de,2
groups,2
australia,2
friendship,2
unix,2
2,2
nerdery,2
videogames,2
around,2
generalist,2
code,2
space,2
política,2
furries,2
kind,2
sex,2
work,2
journalism,2
media,2
animals,2
hack,2
everything,2
personal,2
private,2
travel,2
camping,2
streaming,2
technik,2
liberty,2
fashion,2
🦈,2
fandom,2
infosec,2
literature,2
stellated,1
platonic,1
solids,1
anarcho-feminism,1
canadians,1
(actual,1
spirit),1
talking,1
it/tech,1
mostly.,1
anticapitalism,1
leftism,1
intersectional,1
feminism,1
dev+design,1
jokes,1
cyberpunk,1
💗,1
friendly,1
🎎,1
🎮,1
🖥️,1
net,1
noise,1
localised,1
manx,1
isle,1
man,1
phoenix,1
scene.,1
bunch,1
bastards.,1
jeux,1
japon,1
autres,1
entre,1
adultes,1
responsables.,1
queerness,1
encouraged,1
iot,1
new,1
technologies,1
portuguese,1
speakers,1
foxes,1
retrocomputing,1
astronomie,1
photos,1
informatic,1
kitten,1
russian,1
technomancy,1
bonn,1
aikatsu,1
(cat|foss|*nix),1
education,1
école,1
informatique,1
entre-aide,1
suisse,1
oss,1
generalistic(but,1
currently,1
development),1
sculpture,1
too.,1
legal,1
ecology,1
photo,1
catalunya,1
catalonia,1
catalan,1
音ゲー,1
single,1
user,1
phantasy,1
pso,1
motorsports,1
mostly,1
mastodon-related,1
home,1
server,1
dtp,1
printing,1
デザイン,1
印刷,1
bbq/food,1
競馬,1
ohitorisama,1
insutansu,1
pc,1
kanzaki,1
ranko,1
育児,1
カービィ,1
paranormal,1
investigators,1
pso2,1
co-ops,1
democracy,1
transparency,1
non-hierarchy,1
participation,1
academia,1
research,1
teachers,1
students,1
#honda,1
#yamaha,1
#suzuki,1
#kawasaki,1
#ducati,1
#bmw,1
#ktm,1
#triumph,1
#aprilia,1
#mvagusta,1
#harleydavidson,1
#bike,1
#バイク,1
#motorbike,1
#moto,1
biology;,1
zoology;,1
jellyfish;,1
クラゲ,1
yaoi,1
bl,1
mathematics,1
math,1
maths,1
whatever,1
call,1
expression,1
podcast,1
ポッドキャスト,1
transportation,1
san'in,1
region,1
babymetal,1
g20,1
pony,1
especially,1
"""mlp",1
:,1
"fim""",1
sub-culture.,1
party,1
club,1
dj,1
techno,1
house,1
trance,1
edm,1
hip-hop,1
electro,1
on.,1
beer,1
cute,1
awesome,1
:),1
おもちゃ,1
プラモデル,1
フィギュア,1
toys,1
afv,1
creation,1
painting,1
drawing,1
esports,1
fantasy,1
sports!,1
mini4wd,1
ミニ四駆,1
"game,pc,it,roadbike,coffee",1
mmo,1
lineage,1
rubber,1
leather,1
bondage,1
mindfulness,1
novel,1
vocaloid,1
etc...,1
metal,1
"cat,猫,ねこ",1
dqx,1
dq10,1
ドラゴンクエスト,1
ドラクエ,1
ロールプレイ,1
monsters,1
creatures,1
場面緘黙,1
zenkaku,1
"book,books,novel,本,小説,書籍,電子書籍,",1
succ,1
岩手県,1
映画「君の名は。」,1
wake,1
girls!,1
wug,1
voice,1
actor,1
esperanto,1
nerdism,1
psytrance,1
goa,1
bsdm,1
internet,1
rants,1
haidflow,1
fractals,1
visuals,1
420,1
meddl,1
osx,1
sql,1
warez,1
demoscene,1
polandball,1
foss,1
"furry,",1
rheology,1
playerunknown's,1
battlegrounds,1
吃鸡,1
寂しい,1
孤独,1
出会い,1
korean,1
rp推奨,1
pbw,1
サイキックハーツ,1
ケルベロスブレイド,1
トミーウォーカー,1
islamism,1
terror,1
rf,1
sdr,1
dsp,1
reverse,1
embedded,1
hardware,1
witches,1
bullshit,1
chat,1
💻,1
⚡️,1
🔒,1
👾,1
fiction,1
comic,1
💬,1
communication,1
musicbrainz,1
roblox,1
social-justice,1
anarchism,1
socialism,1
decentralization,1
internet-freedom,1
cryptocurrencies,1
(｀・ω・´),1
嘟嘟噜,1
二次元,1
萌え,1
tech~furry,1
cheese,1
wedge,1
gundam,1
cryptotrek,1
"cuddles,headpats,pets,kisses,hugs,love",1
autour,1
chablis,1
le,1
vin,1
la,1
vie,1
locale,1
campaigning,1
ngo,1
working,1
better,1
world,1
conversation,1
ruhr,1
area,1
germany,1
"anime,voiceactor,comic,game,uesakasumire",1
planetside,1
network,1
bsd,1
openbsd,1
freebsd,1
netbsd,1
peaceful,1
pagan-driven,1
site,1
hoping,1
put,1
"""social""",1
back,1
networking,1
making,1
makers,1
pokémon,1
data,1
visualization,1
blogging,1
impact,1
unfettered,1
activists,1
communicate,1
via,1
#openweb,1
plurality,1
multiplicity,1
minneapolis,1
st.,1
paul,1
minnesota,1
political,1
regional,1
concerns,1
(and,1
lives,1
concerned),1
humor,1
nothing,1
paticular,1
age,1
players,1
